1665807003.817146 server started (25340): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1665807003.817176 on Linux 5.19.0-2-amd64 #1 SMP PREEMPT_DYNAMIC Debian 5.19.11-1 (2022-09-24)
1665807003.817188 using libevent 2.1.12-stable (poll); ncurses 6.3
1665807003.817252 input_key_build: 0x10e003 (PasteStart) is \033[200~
1665807003.817257 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1665807003.817262 input_key_build: 0x10e195 (F1) is \033OP
1665807003.817266 input_key_build: 0x10e196 (F2) is \033OQ
1665807003.817270 input_key_build: 0x10e197 (F3) is \033OR
1665807003.817274 input_key_build: 0x10e198 (F4) is \033OS
1665807003.817277 input_key_build: 0x10e199 (F5) is \033[15~
1665807003.817281 input_key_build: 0x10e19a (F6) is \033[17~
1665807003.817287 input_key_build: 0x10e19b (F7) is \033[18~
1665807003.817292 input_key_build: 0x10e19c (F8) is \033[19~
1665807003.817296 input_key_build: 0x10e19d (F9) is \033[20~
1665807003.817299 input_key_build: 0x10e19e (F10) is \033[21~
1665807003.817303 input_key_build: 0x10e19f (F11) is \033[23~
1665807003.817307 input_key_build: 0x10e1a0 (F12) is \033[24~
1665807003.817311 input_key_build: 0x10e1a1 (IC) is \033[2~
1665807003.817314 input_key_build: 0x10e1a2 (DC) is \033[3~
1665807003.817318 input_key_build: 0x10e1a3 (Home) is \033[1~
1665807003.817322 input_key_build: 0x10e1a4 (End) is \033[4~
1665807003.817326 input_key_build: 0x10e1a5 (NPage) is \033[6~
1665807003.817330 input_key_build: 0x10e1a6 (PPage) is \033[5~
1665807003.817333 input_key_build: 0x10e1a7 (BTab) is \033[Z
1665807003.817337 input_key_build: 0x10e1a8 (Up) is \033[A
1665807003.817341 input_key_build: 0x10e1a9 (Down) is \033[B
1665807003.817345 input_key_build: 0x10e1aa (Left) is \033[D
1665807003.817348 input_key_build: 0x10e1ab (Right) is \033[C
1665807003.817352 input_key_build: 0x10e1ac (KP/) is /
1665807003.817356 input_key_build: 0x10e1ad (KP*) is *
1665807003.817360 input_key_build: 0x10e1ae (KP-) is -
